Month,Revenue,Quantity,Transactions,Customers
2009-12-01,686654.16,400153,1512,955
2010-01-01,557319.062,370921,1011,720
2010-02-01,506371.066,372761,1104,772
2010-03-01,699608.991,503466,1524,1057
2010-04-01,594609.192,352025,1329,942
2010-05-01,599985.79,386297,1377,966
2010-06-01,639066.58,391674,1497,1041
2010-07-01,591636.74,325655,1381,928
2010-08-01,604242.65,453581,1293,911
2010-09-01,831615.001,568612,1689,1145
2010-10-01,1036680.0,598523,2133,1497
2010-11-01,1172336.042,656318,2587,1607
2010-12-01,884591.89,470633,1400,885
2011-01-01,569445.04,349098,987,741
2011-02-01,447137.35,265622,997,758
2011-03-01,595500.76,348503,1321,974
2011-04-01,469200.36100000003,292222,1149,856
2011-05-01,678594.56,373601,1555,1056
2011-06-01,661213.6900000001,363699,1393,991
2011-07-01,600091.011,369420,1331,949
2011-08-01,645343.9,398121,1280,935
2011-09-01,952838.382,544897,1755,1266
2011-10-01,1039318.79,593900,1929,1364
2011-11-01,1161817.3800000001,669051,2657,1664
2011-12-01,518210.79,287414,778,615
