StockCode,Revenue,Quantity,Transactions,Customers,Description
22423,286486.3,24899,3317,1314,REGENCY CAKESTAND 3 TIER
85123A,252227.81,93697,4895,1490,WHITE HANGING HEART T-LIGHT HOLDER
85099B,170616.68,94983,3260,978,JUMBO BAG RED WHITE SPOTTY 
23843,168469.6,80995,1,1,"PAPER CRAFT , LITTLE BIRDIE"
M,152340.57,9803,620,438,Manual
84879,127074.17,79913,2652,1010,ASSORTED COLOUR BIRD ORNAMENT
POST,126563.04,5333,1803,405,POSTAGE
47566,103880.23000000001,23607,2077,894,PARTY BUNTING
23166,81416.73000000001,77916,195,138,MEDIUM CERAMIC TOP STORAGE JAR
22086,79594.33,29477,1691,896,PAPER CHAIN KIT 50'S CHRISTMAS 
79321,72860.14,15735,922,304,CHILLI LIGHTS
22386,68439.19,37711,1767,601,JUMBO BAG PINK WITH WHITE SPOTS
21137,67209.44,19629,539,198,BLACK RECORD COVER FRAME
48138,64973.98,9974,1511,678,DOOR MAT UNION FLAG
85099F,64601.65,36098,1514,549,JUMBO BAG STRAWBERRY
20685,61829.13,9545,1478,626,RED SPOTTY COIR DOORMAT
82484,60513.09,10893,1048,451,WOOD BLACK BOARD ANT WHITE FINISH
20725,60271.7,38314,2579,845,LUNCH BAG RED SPOTTY
21843,59648.09,5891,1279,599,RETRO SPOT CAKE STAND
22197,59101.69,77971,1752,601,"POPCORN HOLDER , SMALL "
84347,57779.17,29498,525,300,ROTATING SILVER ANGELS T-LIGHT HLDR
22502,55017.6,3128,568,335,PICNIC BASKET WICKER SMALL
21621,54815.12,6542,1121,583,VINTAGE UNION JACK BUNTING
15056N,54741.46,11027,863,347,EDWARDIAN PARASOL NATURAL
85099C,53168.340000000004,29447,1449,506,JUMBO  BAG BAROQUE BLACK WHITE
22189,52627.29,18113,1129,536,CREAM HEART CARD HOLDER
22470,52157.68000000001,17866,1743,827,HEART OF WICKER LARGE
21623,51465.619999999995,7158,499,311,VINTAGE UNION JACK MEMOBOARD
23084,51346.2,27202,801,450,RABBIT NIGHT LIGHT
20914,50983.880000000005,18524,1790,647,SET/5 RED SPOTTY LID GLASS BOWLS
21733,50010.85,17643,1631,744,RED HANGING HEART T-LIGHT HOLDER
21181,48564.00000000001,24513,1549,598,PLEASE ONE PERSON  METAL SIGN
21931,48255.8,26239,1714,546,JUMBO STORAGE BAG SUKI
22139,47787.6,10107,1838,941,RETRO SPOT TEA SET CERAMIC 11 PC 
22112,47555.840000000004,10326,1447,631,CHOCOLATE HOT WATER BOTTLE
