StockCode,Description,Transactions,Unique_Prices,Min_Price,Max_Price,Avg_Price,Total_Quantity,Total_Revenue,Price_Range,Price_Variation_%
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5181,9,1.9,5.79,2.8703358425014476,93640,252072.46,3.89,135.52421087456906
22423,REGENCY CAKESTAND 3 TIER,3428,6,4.0,24.96,12.461070595099184,24899,286486.3,20.96,168.20384605030134
84879,ASSORTED COLOUR BIRD ORNAMENT,2777,3,1.45,1.69,1.6764025927259631,79913,127074.17,0.24,14.31637012740126
85099B,JUMBO BAG RED RETROSPOT,2702,8,1.65,4.13,1.9724611398963732,75759,136980.08,2.48,125.73124761942287
47566,PARTY BUNTING,2121,7,2.3,10.79,4.771579443658652,23607,103880.23000000001,8.489999999999998,177.92850564990727
20727,LUNCH BAG  BLACK SKULL.,2117,3,1.19,1.65,1.6401464336324987,25820,40586.2,0.45999999999999996,28.04627626944378
22382,LUNCH BAG SPACEBOY DESIGN ,1941,4,1.19,4.13,1.646630602782071,19035,30463.35,2.94,178.5464204924111
21754,HOME BUILDING BLOCK WORD,1929,4,5.45,11.63,5.963094867807154,7468,43837.76,6.180000000000001,103.63745902088273
21232,STRAWBERRY CERAMIC TRINKET BOX,1922,3,1.06,2.46,1.2360457856399583,34726,40675.38,1.4,113.26441271551724
22469,HEART OF WICKER SMALL,1899,8,1.1,3.29,1.6383938915218537,27182,45020.95,2.19,133.66749054256888
84991,60 TEATIME FAIRY CAKE CASES,1880,4,0.4,1.25,0.5433936170212766,53495,26121.57,0.85,156.42436226237785
20728,LUNCH BAG CARS BLUE,1864,4,1.19,4.13,1.6494313304721029,23575,37071.43,2.94,178.24324939665772
22470,HEART OF WICKER LARGE,1864,8,1.9,5.79,2.944329399141631,17866,52157.68000000001,3.89,132.1183696747403
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1852,4,2.0,5.79,2.91933585313175,29477,79594.33,3.79,129.8240487107448
82494L,WOODEN FRAME ANTIQUE WHITE ,1849,3,2.55,7.46,2.8981016765819363,14707,40870.82000000001,4.91,169.4212470071418
POST,POSTAGE,1838,53,1.0,8142.75,29.749069640914037,5333,126563.04,8141.75,27368.082761158395
22138,BAKING SET 9 PIECE RETROSPOT ,1766,6,1.0,10.79,4.951761041902604,9052,43155.06,9.79,197.70744018452086
21931,JUMBO STORAGE BAG SUKI,1765,8,1.3,4.13,1.9723626062322945,26239,48255.8,2.83,143.4827445550698
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1747,6,1.65,4.13,1.9783629078420149,24690,45784.63,2.48,125.35617151785196
21733,RED HANGING HEART T-LIGHT HOLDER,1728,5,2.55,5.79,2.9161863425925927,17643,50010.85,3.24,111.10401117644375
82482,WOODEN PICTURE FRAME WHITE FINISH,1726,5,1.92,5.79,2.560422943221321,15919,37679.600000000006,3.87,151.146903688149
22457,NATURAL SLATE HEART CHALKBOARD ,1693,4,1.9,5.79,2.957979917306557,14508,41203.920000000006,3.89,131.50866837331714
20726,LUNCH BAG WOODLAND,1658,3,1.45,4.13,1.6512062726176115,21115,33333.11,2.6799999999999997,162.30558498009276
21977,PACK OF 60 PINK PAISLEY CAKE CASES,1647,5,0.4,1.25,0.5448876745598058,55270,26733.45,0.85,155.9954536844099
20725,LUNCH BAG RED RETROSPOT,1593,3,1.45,4.13,1.6559008160703075,20800,32940.4,2.6799999999999997,161.84544231097294
21755,LOVE BUILDING BLOCK WORD,1567,5,5.45,12.46,5.9649074664964905,5492,32325.16,7.010000000000001,117.52068308475117
22111,SCOTTIE DOG HOT WATER BOTTLE,1565,3,4.25,5.1,4.89552715654952,9487,44368.05,0.8499999999999996,17.362787965803037
21790,VINTAGE SNAP CARDS,1555,4,0.58,1.63,0.8473826366559486,25765,20458.79,1.0499999999999998,123.91096472588184
85099F,JUMBO BAG STRAWBERRY,1554,7,1.65,4.13,1.9572651222651223,36098,64601.65,2.48,126.70741289917444
22112,CHOCOLATE HOT WATER BOTTLE,1539,3,4.25,10.79,4.879200779727095,10326,47555.840000000004,6.539999999999999,134.03834552522343
22178,VICTORIAN GLASS HANGING T-LIGHT,1504,6,0.9,2.46,1.3436502659574467,37851,46440.909999999996,1.56,116.10164039884208
