StockCode,Description,Reference_Month,Current_Price,New_Price,Price_Change_Pct,Current_Quantity,Predicted_Quantity,Current_Revenue,Predicted_Revenue,Revenue_Change,Revenue_Change_Pct
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,10.22,-20.0,392.0,1860.84,4545.03,19024.34,14479.31,318.57
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,11.5,-10.0,392.0,1777.19,4545.03,20440.29,15895.26,349.73
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,12.78,0.0,392.0,823.14,4545.03,10519.17,5974.14,131.44
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,14.06,10.0,392.0,520.38,4545.03,7315.16,2770.13,60.95
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,15.34,20.0,392.0,386.21,4545.03,5922.59,1377.56,30.31
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.35,-20.0,745.0,1000.96,1995.79,2350.56,354.77,17.78
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.64,-10.0,745.0,1013.08,1995.79,2676.39,680.6,34.1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.94,0.0,745.0,429.19,1995.79,1259.84,-735.95,-36.88
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,3.23,10.0,745.0,672.97,1995.79,2172.97,177.18,8.88
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,3.52,20.0,745.0,764.63,1995.79,2693.37,697.58,34.95
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,1.65,-20.0,1055.0,5000.36,2020.4,8237.73,6217.33,307.73
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,1.85,-10.0,1055.0,4994.6,2020.4,9256.77,7236.37,358.17
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.06,0.0,1055.0,4363.21,2020.4,8985.1,6964.7,344.72
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.27,10.0,1055.0,3472.09,2020.4,7865.02,5844.62,289.28
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.47,20.0,1055.0,3343.29,2020.4,8261.76,6241.36,308.92
M,Manual,2011-12-01,29.15,23.32,-20.0,819.0,4581.81,438.1,106847.79,106409.69,24288.9
M,Manual,2011-12-01,29.15,26.24,-10.0,819.0,4593.93,438.1,120521.65,120083.55,27410.08
M,Manual,2011-12-01,29.15,29.15,0.0,819.0,3467.4,438.1,101074.66,100636.56,22971.14
M,Manual,2011-12-01,29.15,32.06,10.0,819.0,1446.07,438.1,46368.34,45930.24,10483.96
M,Manual,2011-12-01,29.15,34.98,20.0,819.0,1149.46,438.1,40208.21,39770.11,9077.86
POST,POSTAGE,2011-12-01,25.64,20.51,-20.0,124.0,799.41,2778.0,16397.58,13619.58,490.27
POST,POSTAGE,2011-12-01,25.64,23.08,-10.0,124.0,806.8,2778.0,18617.69,15839.69,570.18
POST,POSTAGE,2011-12-01,25.64,25.64,0.0,124.0,288.39,2778.0,7394.26,4616.26,166.17
POST,POSTAGE,2011-12-01,25.64,28.2,10.0,124.0,105.67,2778.0,2980.24,202.24,7.28
POST,POSTAGE,2011-12-01,25.64,30.77,20.0,124.0,82.88,2778.0,2549.94,-228.06,-8.21
