StockCode,Description,Reference_Month,Current_Price,New_Price,Price_Change_Pct,Historical_3M_Avg_Quantity,Previous_Quantity,Raw_Model_Quantity,Predicted_Quantity,Predicted_Revenue,Revenue_Change,Revenue_Change_Pct
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,10.22,-20.0,900.67,944.0,1860.84,1860.84,19024.34,8505.17,80.85
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,11.5,-10.0,900.67,944.0,1777.19,1777.19,20440.29,9921.13,94.31
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,12.78,0.0,900.67,944.0,823.14,823.14,10519.17,0.0,0.0
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,14.06,10.0,900.67,944.0,520.38,520.38,7315.16,-3204.01,-30.46
22423,REGENCY CAKESTAND 3 TIER,2011-12-01,12.78,15.34,20.0,900.67,944.0,386.21,386.21,5922.59,-4596.58,-43.7
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.35,-20.0,2189.33,57.0,1000.96,1000.96,2350.56,1090.72,86.58
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.64,-10.0,2189.33,57.0,1013.08,1013.08,2676.39,1416.55,112.44
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,2.94,0.0,2189.33,57.0,429.19,429.19,1259.84,0.0,0.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,3.23,10.0,2189.33,57.0,672.97,672.97,2172.97,913.13,72.48
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-01,2.94,3.52,20.0,2189.33,57.0,764.63,764.63,2693.37,1433.53,113.79
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,1.65,-20.0,5030.67,5678.0,5000.36,5000.36,8237.73,-747.37,-8.32
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,1.85,-10.0,5030.67,5678.0,4994.6,4994.6,9256.77,271.67,3.02
